Epoch num,Execution Time (ms)

187589,320
187590,319
187591,511
187590,295
187592,313
187593,1518
187592,1141
187594,452
187595,2084
187594,1056
187596,315
187597,1140
187596,1402
187598,1117
187599,905
187600,701
187601,1733
