updates,address plainKey,account plainKeys,PatriciaContext.Branch(),PatriciaContext.Account(),PatriciaContext.Storage(),PatriciaContext.PutBranch(),L0 - Load Account/Storage,L1 - Load Account/Storage,L2 - Load Account/Storage,L3 - Load Account/Storage,L4 - Load Account/Storage,unfold/fold calls,total unfolding time (ms),total folding time (ms),total processing time (ms)
5,5,0,4,5,0,3,417/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,422/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,427/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,432/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,437/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,442/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,447/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,2,453/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,459/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,465/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,471/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,477/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,484/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,489/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,494/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,499/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,504/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,509/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,2,5,0,2,514/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,2,520/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,3,526/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,532/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,538/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,544/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,5,550/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,4,5,0,2,555/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,560/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,3,5,0,3,565/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,4,5,0,3,570/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,3,5,0,2,575/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,581/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,587/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,3,593/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,600/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,5,607/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,3,5,0,3,612/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,617/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,622/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,4,627/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,632/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,637/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,643/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,649/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,2,5,0,2,655/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,2,662/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,3,669/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,2,676/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,683/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,690/0,0/0,0/0,0/0,0/0,10,0,0,0
5,5,0,5,5,0,5,697/0,0/0,0/0,0/0,0/0,11,0,0,0
5,5,0,4,5,0,2,702/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,4,5,0,3,707/0,0/0,0/0,0/0,0/0,9,0,0,0
5,5,0,3,5,0,2,712/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,3,5,0,3,717/0,0/0,0/0,0/0,0/0,8,0,0,0
5,5,0,2,5,0,2,722/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,2,728/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,2,734/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,2,740/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,2,746/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,2,752/0,0/0,0/0,0/0,0/0,7,0,0,0
5,5,0,2,5,0,3,758/0,0/0,0/0,0/0,0/0,8,0,0,0
